2018-11-25 23:34:35,mate goes gen pop prison life basically one thing criminals hate child rapists feel felt stay prison get mental illness also likely unfortunately 
2018-11-25 23:34:07,got7 escape ahgases work mental stress feel loved fandom people think got7 escape ultimate group fandom fanwars nd nothing else sorry ahgase 
2018-11-25 23:33:40,somebody saying bron closer facts opinion literally show proof clutch player playoff history but mental illness cause hater ignore that fact give opinion like 
2018-11-25 23:33:28,it also easy take mental health granted really self care well often overwork keeping busy distracted always go thing working recent months it left exhausted lot amp heightens anxiety 
2018-11-25 23:33:18,do care trans people higher suicide rate groups enslaved continuing ignore fact mental disorder wont help 
2018-11-25 23:33:12,pro tip want annoying men leave alone overshare mental illness scatter corner earth 
2018-11-25 23:33:09,this without doubt scariest thing ever mental illness sucks ass 
2018-11-25 23:32:46,dating someone mental illness isnt holding hand shakes sitting youd rather sleeping calm irrational thoughts help sleep 
2018-11-25 23:32:43,oh one last thing transgender mental illness associated trans identity body dysmorphia inflicted trauma illness part 
2018-11-25 23:32:28,mental illness serious disease one latino another please get help soon 
2018-11-25 23:32:03,that said please dont mislabel sole purpose making disease sound worse getting followers twitter mental illness serious business really suggest seeking professional help type wish properly define 
2018-11-25 23:31:58,mehwe banned saying thingbiology isnt bigotry fact science fake vagina makes man woman fake dick doesnt make man dna always tell truthtransgender mental illness 
2018-11-25 23:31:56,wtf happened went eat lasagna someone said dan using depression forviews like take years feel comfortable enough open use platform get rid stigma around mental health 
2018-11-25 23:31:41,think worst part mental illness able put feel words 
2018-11-25 23:31:29,mental health stuff ❄️ family member wow slept much weekend yeah depression like sometimes 
2018-11-25 23:31:18,have listened latest podcast episode were talking things mental health we think pretty awesome worth listen 😊😉 wed really appreciate could rate review itunes well helps us reach mo 
2018-11-25 23:31:18,appreciate outrage lot mental health advocates would point use insane context reinforces ableist conceptions mental health 
2018-11-25 23:31:10,if dies one parents say lazy dad said stop lazy told like shouting get up person wheelchair said depression real told mental disorder told get new head like funny 
2018-11-25 23:31:00,pro tip you dont need label eating disorder the dsm only exists give doctors idea treatment plans an bn osfed etc treated differently an ed still valid without label it still deadly mental illness controls eatingweight 
2018-11-25 23:30:47,also quit dream job due mental illness it heartbreaking 
2018-11-25 23:30:36,hate fucking dan amp phil merch fucking dan amp phil merch buy instead thinking job patrol someone mental illnessif really want change stigma around mental illness start skewed character 
2018-11-25 23:30:29,toby furrowed eyebrows nodding along show listening get bunch mental shit take meds dont know theyre called adds anxiety im left dark mind probably 
2018-11-25 23:30:17,watching kalief browder story netflix sad it really brings awareness black males incarcerated struggles deal jail also mental illness blacks 
